// From https://rebrickable.com/colors
21,Glow In Dark Opaque,#D4D5C9,165,79,1990,2015,"50:Phosp. White,",21,46,GlowInTheDark,127
,,,,,,,50:PHOS.WHITE,,,,
120,Light Lime,#D9E4A7,22,8,2004,2013,"120:Lig. yellowish green,",120,35,LtLime,67
,,,,,,,120:L.YEL-GREEN,,,,
158,Yellowish Green,#DFEEA5,446,63,2007,2016,"1000:Spring Yellow Green,",,158,,94
,,,,,,,1000:SPR. YELL. GREE,,,,
27,Lime,#BBE90B,20125,1555,1982,2017,"119:Br. yellowish green,",27,34,Lime,70
,,,,,,,119:BR.YEL-GREEN,,,,
81,Metallic Green,#899B5F,59,8,2001,2014,200:Lemon Metallic,81,70,MetallicGreen,125
72,Dark Bluish Gray,#6C6E68,353120,7466,1985,2017,"199:Dark stone grey,",72,85,DkStone,50
,,,,,,,199:DK. ST. GREY,,,,
17,Light Green,#C2DAB8,98,41,1950,2016,"6:Light green,",17,38,LtGreen,11
,,,,,,,6:L.GREEN,,,,
10,Bright Green,#4B9F4A,5720,916,1950,2017,"37:Bright Green,",10,36,BtGreen,41
,,,,,,,37:BR.GREEN,,,,
148,Pearl Dark Gray,#575857,2566,617,2002,2017,"316:Titanium Metallic,","83, 148",77,PearlDkGray,119
,,,,,,,"148:Mettalic Dark Grey,",,,,
,,,,,,,"316:TITAN. METAL.,",,,,
,,,,,,,148:MET.DK.GREY,,,,
183,Pearl White,#F2F3F2,33,7,2003,2006,"183:Metallic White,",183,83,Pearlescent,123
,,,,,,,183:MET. WHITE,,,,
7,Light Gray,#9BA19D,113959,3585,1954,2017,2:Grey,7,9,OldGray,66
2,Green,#237841,57999,3622,1950,2017,"28:Dark green,",2,6,Green,61
,,,,,,,"186:Metallic Dark Green,",,,,
,,,,,,,"28:DK.GREEN,",,,,
,,,,,,,186:MET. DK. GREEN,,,,
378,Sand Green,#A0BCAC,11288,354,2000,2017,151:Sand green,378,48,SandGreen,18
74,Medium Green,#73DCA1,147,39,1994,2014,"29:Medium green,",74,37,MdGreen,10
,,,,,,,29:MD.GREEN,,,,
62,Chrome Green,#3CB371,2,2,1999,1999,,62,64,ChromeGreen,113
150,Pearl Very Light Gray,#ABADAC,3,2,2002,2003,,150,119,PearlVLGray,27
288,Dark Green,#184632,14557,740,2003,2017,"141:Earth Green,",288,80,DkGreen,20
,,,,,,,141:EARTH GREEN,,,,
118,Aqua,#B3D7D1,234,53,2000,2017,"118:Light bluish green,",118,41,Aqua,13
,,,,,,,118:L.BLUE-GREEN,,,,
323,Light Aqua,#ADC3C0,2304,150,2011,2017,323:Aqua,323,152,LtAqua,62
3,Dark Turquoise,#008F9B,1192,112,1998,2016,"107:Bright bluish green,",3,39,Teal,58
,,,,,,,107:BR.BLUEGREEN,,,,
11,Light Turquoise,#55A5AF,17,11,1999,2004,"116:Med. bluish green,",11,40,LtTeal,12
,,,,,,,116:MD.BL-GREEN,,,,
322,Medium Azure,#36AEBF,4366,496,2010,2017,"322:Medium Azure,",322,156,MdAzure,73
,,,,,,,322:MEDIUM AZUR,,,,
232,Sky Blue,#7DBFDD,26,9,2003,2015,"232:Dove blue,",232,87,DoveBlue,88
,,,,,,,232:DO. BLUE,,,,
321,Dark Azure,#078BC9,2606,212,2011,2017,321:Dark Azur,321,153,DkAzure,47
313,Maersk Blue,#3592C3,1225,14,1974,2016,"11:Pastel Blue,",313,72,MaerskBlue,71
,,,,,,,11:PASTBLU,,,,
