242026	4					
243226	3					
6030717	1					
300401	2					
306221	2					
306801	1					
306928	2					
307001	6					
307024	4					
362326	1					
374128	1					
6051511	2					
6106280	2					
4632571	2					
408326	2					
459926	7					
460026	1					
474026	4					
614126	8					
3000240	6					
3004626	1					
4106915	1					
4109995	10					
4113233	9					
4113916	5					
4113917	5					
4114026	28					
4114084	2					
4114324	1					
4114348	2					
4117070	1					
4121921	1					
4124460	3					
4125253	2					
6116604	1					
4157103	1					
4159279	1					
4159553	5					
4161734	1					
4162465	1					
4179825	4					
4179826	2					
4179829	1					
4179830	4					
4179833	8					
4539114	2					
4185177	46					
4201201	2					
4210848	20					
4211001	6					
4211008	1					
4211043	2					
4211044	2					
4211052	26					
4211063	2					
4211150	4					
4211151	25					
4211152	4					
4211159	2					
4211181	5					
4211190	4					
4211194	29					
4211204	1					
4211247	3					
4211257	2					
4211288	16					
4211356	3					
4211387	1					
4211388	5					
4211389	2					
4211393	1					
4211396	9					
4211398	2					
4211399	4					
4211406	1					
4211414	18					
4211425	1					
4211428	1					
4211429	3					
4211445	1					
6066097	5					
4211476	4					
4211483	1					
4211503	4					
4211512	2					
4211525	6					
4211568	1					
4211636	1					
4216581	35					
6086709	2					
4219615	2					
4221744	2					
4222192	2					
4223247	8					
4223303	8					
6031056	1					
4225469	4					
4244627	1					
4249139	2					
4539082	4					
4255413	1					
4257526	1					
4271949	1					
6048857	1					
4289538	1					
4504376	11					
6035547	8					
4507045	1					
4515351	2					
4515369	3					
4520636	4					
4520638	1					
4523159	2					
4526982	1					
4528488	3					
4538456	10					
4539060	2					
4539061	3					
4539062	3					
4539076	2					
4539083	1					
4539090	6					
4539097	1					
4539102	5					
4541376	3					
4541379	1					
4541528	4					
4544525	1					
4547489	2					
4550324	1					
4556157	3					
4556158	2					
4558169	1					
4558598	1					
4560182	1					
4565323	1					
6126046	2					
4565387	2					
6126082	1					
6031821	2					
4567448	1					
4569058	1					
4599498	1					
4599499	2					
4619513	2					
4623298	1					
4623514	1					
4645103	6					
4645412	1					
4650865	2					
4655243	5					
4658005	1					
4659665	5					
6000881	2					
6050914	2					
6052777	5					
6055313	2					
6092565	2					
6092590	2					
6102341	2					
6115447	2					
